ROI name,OR,2.5%,97.5%,p-value,
Left caudal anterior cingulate,1.05879346527957,0.487415361255048,0.919527596382552,0.0136189004456282,*
Left caudal middle frontal,1.32186846888045,0.483592871258766,1.18646083129726,0.226102273237099, 
Left cuneus,1.47554332637589,0.750656445283519,1.81470086035069,0.494249532915038, 
Left entorhinal,1.56866046767735,0.794022089997115,1.29008993619897,0.923584881784272, 
Left fusiform,1.5371580216008,1.05152156457045,1.8196058042467,0.0211363049432303,*
Left inferior parietal,1.89122623981507,1.12530550222013,2.40870977950706,0.0105806466523128,*
Left inferior temporal,1.78199634086042,1.18315774234067,2.25512187974546,0.00301085349563159,**
Left isthmus cingulate,1.55239024880514,0.74493630867106,1.63467055889741,0.62444083953143, 
Left lateral occipital,1.51609398105391,1.07727816507341,2.43351833685215,0.0212580727406156,*
Left lateral orbitofrontal,1.56973204095627,0.654615261019675,1.42655024673721,0.862829722573088, 
Left lingual,1.61299305581788,0.702686863726436,1.35699025042841,0.892948380757463, 
Left medial orbitofrontal,2.04617087059496,0.94045263893957,1.86760031652497,0.10906127047329, 
Left middle temporal,2.344062202703,1.47494430153364,2.9232211590713,3.26385275614377e-05,***
Left parahippocampal,1.61721194980001,0.657695742169275,1.18021143597098,0.397511066381318, 
Left paracentral,1.72902338056826,0.274684642702849,0.754583723253991,0.00238691145920436,**
Left pars opercularis,1.27861220871951,0.417554590332256,1.00688800047206,0.0542659362765401,.
Left pars orbitalis,1.50822764403987,0.533189172971125,1.13407524804197,0.192793479715756, 
Left pars triangularis,1.75253507090373,0.779622772024845,1.77830365937937,0.43858640305323, 
Left pericalcarine,1.44170223705175,0.833255190899195,1.55511823428897,0.416028605239798, 
Left postcentral,1.54316551311362,0.359033679173765,1.21057349038329,0.180160871722057, 
Left posterior cingulate,1.58196098340382,0.691225176297351,1.44811241824343,0.99829583571965, 
Left precentral,1.68527097272461,0.195672509259554,0.62346824351291,0.000403595814747461,***
Left precuneus,1.57320734174849,0.669693543434483,1.62490312219307,0.852491794708653, 
Left rostral anterior cingulate,1.65776443355338,0.787622095628437,1.3888805093584,0.758737329587557, 
Left rostral middle frontal,2.02898439715349,0.92688573718288,1.85259119307522,0.127008388238315, 
Left superior frontal,1.40076309349634,0.533040593505314,1.2202529291996,0.309658847075995, 
Left superior parietal,1.51311948342681,0.334210283922506,1.06069030339416,0.0793012042266108,.
Left superior temporal,1.72124291269408,0.926478674880601,2.29646655205254,0.104484122436435, 
Left supramarginal,1.72713550621029,0.730199799539707,1.80051185907389,0.552361690477892, 
Left transverse temporal,1.53276859680106,0.63311003393112,1.39015853466833,0.74960643797849, 
Left insula,1.33109167322651,0.530047506165086,0.951779108093843,0.0224138791137102,*
Right caudal anterior cingulate,1.01389220021341,0.478610726251056,0.805882856992339,0.000366189012789403,***
Right caudal middle frontal,1.2773778690362,0.423621448606225,1.0019452261552,0.0518116148178622,.
Right cuneus,1.5511548954937,0.785678625823326,1.88135094272142,0.382571553471197, 
Right entorhinal,1.44341217057851,0.876372771682465,1.39528322998217,0.398284927250411, 
Right fusiform,1.55426489317185,1.04932419944783,1.78227502770346,0.0214106526522624,*
Right inferior parietal,2.1141852505077,1.24515257284399,2.61413271850545,0.00192049946228929,**
Right inferior temporal,1.62010157703053,1.25756076198838,2.38330960146467,0.000832741961560847,***
Right isthmus cingulate,1.62190665377903,0.820274415140866,1.77239070213916,0.34321663862361, 
Right lateral occipital,1.61731171281967,0.84826187809781,2.00959609195236,0.229146402041126, 
Right lateral orbitofrontal,1.49374436642642,0.628439683915406,1.37393859541069,0.713429016424339, 
Right lingual,1.66770049859848,0.602943889900102,1.18371313726076,0.331709457061884, 
Right medial orbitofrontal,1.75183492725538,0.892085833699473,1.76533302081455,0.193375714632298, 
Right middle temporal,2.67001955462472,1.419618077847,2.92610560601916,0.000126786128988044,***
Right parahippocampal,1.60672538265637,0.594058246006482,1.11507507998742,0.201765816923374, 
Right paracentral,1.91640621040176,0.208307987884997,0.567373517349153,3.38717236417394e-05,***
Right pars opercularis,1.4570176346443,0.467426708407164,1.11191445710336,0.140320350355181, 
Right pars orbitalis,1.40103890649075,0.577748414206984,1.16987556590473,0.276836693152186, 
Right pars triangularis,1.53801689249931,0.632960660818036,1.38014391954424,0.735198991734203, 
Right pericalcarine,1.56617572412205,0.746639194860464,1.43350342270508,0.839390305447555, 
Right postcentral,1.55092510399905,0.311871485944629,1.07297740649345,0.0835516866339519,.
Right posterior cingulate,1.48107452160853,0.630057609777106,1.24133819027336,0.477796684139538, 
Right precentral,1.86729792924179,0.201861963801502,0.622599331850498,0.00033600415184622,***
Right precuneus,1.69342409008235,0.804206810823122,2.07239495358288,0.292970735700121, 
Right rostral anterior cingulate,1.33223208647006,0.625869256691443,1.01884627700665,0.071438879970276,.
Right rostral middle frontal,2.04626169260856,1.01545363243331,1.9600878178623,0.0408928649821432,*
Right superior frontal,1.45306653698005,0.556299699961443,1.22762110645872,0.346123926709225, 
Right superior parietal,1.5274050372557,0.368826823457078,1.12480851987243,0.123002547320625, 
Right superior temporal,1.58864170691965,1.01427641255637,2.476881305034,0.0439284399299516,*
Right supramarginal,1.58585839918281,0.635581308634975,1.58697639601212,0.984884106782678, 
Right transverse temporal,1.60110081991272,0.702299208806021,1.56952018275484,0.812792862657228, 
Right insula,1.36060041257992,0.567896833420917,1.05925362112797,0.111089631123325, 
